ID,Proposal title,Proposal state,Pending proposal state,Session type,Track,created,Tags,Abstract,Description,Session image,Speaker IDs,Speaker names
9LMAXM,Revolutionalise Data Visulization with PyScript,confirmed,,Talk (long),,2022-06-06T13:33:15.874772+00:00,,"Since the announcement of PyScript, it has gained lots of attention and imagination about how we can run applications of Python in the browser. Out of everything that I have come across, most of the use cases are data visualisation. Let's see how we can up our data viz game with PyScript.","At the beginning of this talk, we will go over what PyScript is and how to use it: no need to install it, just put a CDN URL in an HTML file. This part will cover some basic knowledge about it, why is it unique and why it can revolutionize data visualisation, for those who have not heard much about PyScript.

After that, we will go over 3 examples: one interactive data plot, one interactive map visualization and one integration with D3. Besides showing the result, we will also have a deeper look at the code, the key to making similar visualization so you can learn a few tricks to make your own PyScript data visualization as well.

This talk is for anyone who needs a simple and no fuzz way to present data findings and visualization. As PyScript runs only on the browser, it will be an optimal way to share data findings through visualization.",,8EGVC9,Cheuk Ting Ho
9QBKCE,Conda Store : easy environments management & reproducibility for Teams and Enterprises,confirmed,,Poster,,2022-06-05T07:54:41.928927+00:00,,"End users think in terms of environments, not packages. Conda Store makes it easy for data scientists to define their environments, ensures reproducibility, productionizing, easing collaboration, and reduces friction and latency between developers and IT.","Conda Store is a tool designed with multiple goals in mind : 

- Easy to use : makes it simple for data scientists to define and build their environments. Thanks to Conda Store's UI, no need to write yaml anymore  - but power-users still can.

- Facilitate collaboration : No more working isolated on locally-hosted environments. No more divergent solves when sharing an environment.yaml file with your team. Actually, you don't need to share a yaml file anymore. Conda Store empowers teams to let them define, build and share their environments collaboratively. Also, role-based access control (RBAC) makes it very flexible to define accesses and permissions across people and teams.

- More autonomy : data scientists don't need to wait anymore for IT to add the package they need. Click, Build, Done.

- Reproducibility and Productionizing : easy rollback to a previous specification, environments available in multiple formats : yaml, lockfile, conda tarball, docker image. You can even serve them on AWS S3.",,DSY8ES,Pierre-Olivier Simonard
9VCPM3,Real-time estimation of an heat pump I/O state with IoT data.,confirmed,,Talk (long),,2022-06-09T15:08:24.423412+00:00,,"In the present time, we are facing a continuous growing of the energy price. It is then important to optimize the use of heat pumps, both in domestic and industrial environments. Using an opportunely labeled dataset of accelerometer, speed or relative position over time coming from a cheap sensor it is possible to estimate the I/O state of any heating or cooling engine. This new real-time measure allows then to compute the energy consumption and to study the most cheap usage scheme.
In this presentation we will show a real-case implementation of some fast binary classifiers, from basic statistics to machine learning, assessing the performance of each method in terms of computational time, precision and accuracy levels.","In the present time, we are facing a continuous growing of the energy price. It is then important to optimize the use of heat pumps, both in domestic and industrial environments. Using an opportunely labeled dataset of accelerometer, speed or relative position over time coming from a cheap sensor it is possible to estimate the I/O state of any heating or cooling engine. This new real-time measure allows then to compute the energy consumption and to study the most cheap usage scheme.
In this presentation we will show a real-case implementation of some fast binary classifiers, from basic statistics to machine learning, assessing the performance of each method in terms of computational time, precision and accuracy levels.",,TTUQ3P,Davide Poggiali
9VKWZP,Pragmatic Panel: Build and Deploy Complex Data-Driven WebApps,confirmed,,Talk,,2022-06-05T07:20:35.676186+00:00,,"Panel is one of the leading choices for building dashboards in Python. In this talk, we discuss the practical aspects of complex data-driven dashboards. There are tutorials and guides available which help teach new users the basics, but this talk focuses on the challenges of building more complex, industry-ready, deployed dashboards. There are a variety of niche issues which arise when you push the limits of complexity, and we will share the solutions we have developed. We will demonstrate these solutions as we walk through the entire lifecycle from data ingestion, though exploratory analysis to deployment as a finished website.","Panel is a mature tool for quickly creating custom, interactive web apps and dashboards by connecting user-defined widgets to plots, images, tables, or text. Panel allows scientists to create their own apps for data exploration quickly and easily without requiring them to know javascript or work with an external developer team. It provides the framework for building much more complex dashboards which look and feel like a mature web app. By allowing prototyping inside Jupyter and deployment outside Jupyter, it bridges the gap between exploration and production.

In this talk, we discuss the practical aspects of complex data-driven dashboards. There are tutorials and guides available which help teach new users the basics, but this talk focuses on the challenges of building and sharing more complex, industry-ready, applications. There are a variety of issues which arise when you build fully featured applications, and we will share the solutions we have developed. We will demonstrate these solutions as we walk through the entire lifecycle from data, though exploratory analysis to deployment as a finished website.

Examples of the topics we will cover include: best practices; creating multi-page apps where you may not know the number of pages ahead of time; Debugging cascading effects of user interactions; Deployment in air-gapped environments; using templates and customizing Panel’s look and feel. 

These lessons were distilled from Panel apps we created for clients in finance, manufacturing and science. The datasets and code for these examples in the talk will be made available via a github repository.",,DSY8ES,Pierre-Olivier Simonard
AFXCXH,Discrete event simulations of 'all electric' mines,confirmed,,Talk,,2022-05-27T22:43:34.915021+00:00,,"How a discrete event simulation can help mining companies reduce their dependence on diesel as a source of fuel for their large haulage trucks. Using open source software, mining environments are modeled, and helps decision making for building an all electric mine, where diesel powered vehicles are made obsolete.","A typical 200 tonne payload mining truck can burn through more than 3000 liters of diesel fuel per day. Mining companies around the globe are searching for pathways to reduce their environmental impact, and clearly, reducing their dependence on diesel fuel is be a step in the right direction. 

Trials using diesel/electric hybrid, batteries, hydrogen and other energy sources are currently underway to serve as an alternative energy source to power these vehicles. The technology required for powering this class of large haulage vehicle is still in development, leaving mining companies unsure about the path they should take.

Using the Python Simpy and NetworkX libraries to serve as the core, a discrete event simulation of real mining environments is created. Electric haulage trucks, electric trolley lines and more are modeled, and provide results aimed to help mining companies move to a more sustainable operation.",,8MJW7J,Nicholas Hall
ALLCZ7,JupyterLab 4 and the future of Jupyter Notebook,confirmed,,Poster,,2022-06-03T19:56:50.610684+00:00,,"JupyterLab is a powerful computational environment for interactive data science in the browser, and the new version 4 release comes with many new features and improvements.

The Jupyter Notebook project decided to base its next major version 7 on JupyterLab components and extensions, which means many JupyterLab features are also available to Jupyter Notebook users. 

In this presentation, we will demo all the features coming in these new versions and how users can seamlessly switch from one notebook interface to another.","JupyterLab 4 is packed with new features and improvements:

- More reliable and stable Real Time Collaboration feature to collaborate with peers
- Accessibility improvements
- Enhanced code completions with the improved Language Server Protocol integration
- Commenting on notebooks and files from the JupyterLab interface
- Improved debugging experience, with the variable explorer and rich mime type rendering
- A new settings UI to more easily tweak and customize the environment
- Performance improvements

The JupyterLab plugin system also enables other distributions to be created from JupyterLab building blocks. Which is actually the case for the next major version of the Jupyter Notebook application.

Jupyter Notebook 7 is based on the JupyterLab codebase, but provides an equivalent user experience to the current (version 6) application. Notebook 7 keeps the document-centric user experience at its core, and brings many new features that were not previously available:

- Debugger
- Real-time collaboration
- Theming and dark mode
- Internationalization
- Improved Web Content Accessibility Guidelines (WCAG) compliance
- Support for many JupyterLab extensions, including Jupyter LSP (Language Server Protocol) for enhanced code completions

This talk will be about demoing the new features coming to JupyterLab 4 and Notebook 7, and how these two frontends provide a coherent package for productive interactive computing in the browser.",,"KA8ZHH, ZYLSXW","Jeremy Tuloup, Frédéric Collonval"
APTJNF,The Beauty of Zarr,confirmed,,Poster,,2022-06-01T23:19:16.101328+00:00,,"This poster showcases Zarr, an open-source data format for storing chunked, compressed N-dimensional arrays. We present a systematic approach to understanding and implementing Zarr by showing how it works and the need for using it. Zarr is based on an open technical specification, making implementations across several languages possible. The focus here is on Zarr’s Python implementation and its interoperability with the existing libraries in the PyData stack.","Zarr is a data format for storing chunked, compressed N-dimensional arrays. Zarr is based on open-source technical specification and has implementations in several languages, with Python the most used one. Zarr is NumFOCUS’s sponsored project and is under their umbrella.

### Outline:


First, I’d be talking about:

### What’s, Why’s, and How’s of Zarr (15 mins.)

- How does Zarr work?
    - Talking about the motivation and functionality of Zarr
- What’s the need for using Zarr?
    - When, where and why to use it?
- Pluggable compressors and file-storage
    - Talking about several compressors and file-storage systems available in Zarr
- Managing(selection, resizing, writing, reading) chunked arrays using Zarr functions
    - Using inbuilt functions to manage compressed chunks
- How Zarr is different when compared to other storage formats?
    - Talking briefly about technical specification, which allows Zarr to have implementations in several languages
    - Pros and cons when compared to other storage formats
- Zarr community
    - What is the Zarr community, and how do we do things?


Then, I’d be doing a hands-on session, which would cover:

### Hands-on (10 mins.)

- Creating and using Zarr arrays
    - Using inbuilt functions to create Zarr arrays and reading and writing data to it
- Looking under the hood
    - Use store functions to explain how your Zarr data is stored
- Consolidating metadata
    - Consolidating the metadata for an entire group into a single object
- Writing and reading from Cloud object storage
    - Using S3/GCS/Azure to create Zarr arrays and writing data to it
- Showing how Zarr interoperates with the PyData stack
    - How Zarr interoperates with the PyData stack(NumPy, Dask and Xarray) and how you can write data to your Zarr chunks at incredibly high speed in parallel using Dask


I’d be closing the talk by: 

### Conclusion(5 mins.)

- Key takeaway
- How you can contribute to Zarr?
- QnA

This talk aims to address the audience who works with large amounts of data and are in search of a data format which is transparent, easy to use and friendly to the environment. Zarr is also reasonably used in bioimaging, geospatial and research communities. So, Zarr is your one-stop solution if you’re from a community or an organisation dealing with high-volume data. Also, anyone who is curious and wants to learn about Zarr and how to use it is most welcome.

The tone of the talk is set to be informative, along with a hands-on session. Also, I’m happy to adjust the style according to the audience in the room.

Intermediate knowledge of Python and NumPy arrays is required for the attendees to attend this talk.

### After this talk, you’d learn:

- Basic use cases for Zarr and how to use it
- Understand the basics of data storage in Zarr
- Understand the basics of compressors and file-storage systems in Zarr
- Take a better and informed decision on what data format to use for your data",,"A7ACFE, YWKXWU","Sanket Verma, Jonathan Striebel"
B3AGKG,"scikit-learn and fairness, tools and challenges",confirmed,,Talk (long),,2022-06-03T15:21:10.999119+00:00,,"Fairness, accountability, and transparency in machine learning have become a major part of the ML discourse. Since these issues have attracted attention from the public, and certain legislation are being put in place regulating the usage of machine learning in certain domains, the industry has been catching up with the topic and a few groups have been developing toolboxes to allow practitioners incorporate fairness constraints into their pipelines and make their models more transparent and accountable. Some examples are fairlearn, AIF360, LiFT, fairness-indicators (TF), ...

This talk explores some of the tools existing in this domain and discusses work being done in scikit-learn to make it easier for practitioners to adopt these tools.","On the machine learning side, scikit-learn has been one of the most commonly used libraries which has been extended by third party libraries such as imbalanced-learn and scikit-lego. However, when it comes to incorporating fairness constraints in a usual scikit-learn pipeline, there are challenges and limitations related to the API, which has made developing a scikit-learn compatible fairness focused package challenging and hampering the adoption of these tools in the industry.

In this talk, we start with a common classification pipeline, then we assess fairness/bias of the data/outputs using disparate impact ratio as an example metric, and finally mitigate the unfair outputs and search for hyperparameters which give the best accuracy while satisfying fairness constraints.

This workflow will expose the limitations of the API related to passing around feature names and/or sample metadata in a pipeline down to the scorers. We discuss certain workarounds and then talk about the work being done to address these issues and show how the final solution would look like. After this talk, you will be able to follow the related discussions happening in these open source communities and know where to look for them.

The code and the presentation will be publicly available on github.",,HGSWKF,Adrin Jalali
B9N3U9,Continuous and on demand benchmarking,confirmed,,Talk,,2022-06-06T21:52:14.490835+00:00,,"We all know and love our carefully designed CI pipelines, which tests our code and makes sure by adding some code or fixing a bug we aren’t introducing a regression in the codebase. But we often don’t give the same treatment to benchmarking as we give to correctness. The benchmarking tests are usually one off scripts written to test a specific change. In this talk, we will discuss various strategies to test our code for performance regressions using ASV (airspeed velocity) for python projects.","In this talk, we will discuss how we can use ASV (airspeed velocity) and on demand cloud providers to mimic the usual setup of dedicated servers to run benchmarking tests. Currently, a lot of projects use dedicated servers to run their benchmarking suite, which usually is not economical as the majority of the time the hardware is unused. We can get rid of the setup of dedicated hardware + ongoing costs associated with it by only using resources when required.

Outline
5 mins:
- Why benchmarking?
- The usual ways of running the benchmarking suite on dedicated hardware.
- Using GitHub Actions reliably for ""relative benchmark"" testing (A quick shout out to the blog post by Quansight) 

10 mins:
- How we can use container technology to setup our tests and run them on demand on ""dedicated"" hardware to cut down on costs and give a lower barrier to entry to set up a benchmarking suite for projects.",,WTK33D,Mridul Seth
BAL88N,Scipp plot: modular interactive plotting from graph nodes,confirmed,,Poster,,2022-05-29T14:27:09.400175+00:00,,"We present the plotting framework of the Scipp package (https://scipp.github.io/) for multi-dimensional arrays.
Based on the Model View Controller pattern, it uses a set of nodes connected in a graph to represent a sequence of processing steps that can be applied to the data before plotting it onto the figure axes.
A common example of this could be a 2D scatter plot, accompanied by 1D histograms of the data points on the top and right hand side of the scatter axes.
The histogramming nodes, that lie below the original root data node in the graph, perform a histogram operation in each of the X and Y dimensions, and their results get sent to the top and right plotting axes.

The use of a graph of connected nodes opens up the opportunity for a very modular way of creating interactive plots.
For instance, using a library of widgets (such as ipywidgets), we can change the input to one of the nodes, which notifies all the nodes below it about the change.
This means that modifying a parameter of the scatter data with e.g. a slider, would automatically update not only the main scatter plot, but also the histograms on the sides.

Any function (smoothing, fitting, filtering …) can be used inside a node, and any number of axes (or views) can be attached to a given node. This flexibility allows users to create complicated interactive visualizations with just a few lines of code.","We present the plotting framework of the Scipp package (https://scipp.github.io/) for multi-dimensional arrays.
Based on the Model View Controller pattern, it uses a set of nodes connected in a graph to represent a sequence of processing steps that can be applied to the data before plotting it onto the figure axes.
A common example of this could be a 2D scatter plot, accompanied by 1D histograms of the data points on the top and right hand side of the scatter axes.
The histogramming nodes, that lie below the original root data node in the graph, perform a histogram operation in each of the X and Y dimensions, and their results get sent to the top and right plotting axes.

The use of a graph of connected nodes opens up the opportunity for a very modular way of creating interactive plots.
For instance, using a library of widgets (such as ipywidgets), we can change the input to one of the nodes, which notifies all the nodes below it about the change.
This means that modifying a parameter of the scatter data with e.g. a slider, would automatically update not only the main scatter plot, but also the histograms on the sides.

Any function (smoothing, fitting, filtering …) can be used inside a node, and any number of axes (or views) can be attached to a given node. This flexibility allows users to create complicated interactive visualizations with just a few lines of code.

Scipp is developed by the European Spallation Source, a neutron scattering facility under construction in Lund, Sweden. Scipp is available under the open source BSD-3 licence from PyPI (`pip install scipp`) or via conda (`conda install -c conda-forge -c scipp scipp`).",,WAV8NL,nvaytet
